country,year,gdp,tc1,tc2,tc3,srv,internet,bb
AZE,2011,19358.077810034483,0.5466658875,0.23545505692307694,0.3676727633333333,4.9056576622775205,50.0,10.5213182586713
AZE,2012,19523.373716135644,0.5466658875,0.23545505692307694,0.3676727633333333,10.75756493481346,54.20000076,14.6071625537092
AZE,2013,20398.646225034896,0.5466658875,0.23545505692307694,0.3676727633333333,16.778521708168196,73.000001372,18.0145551396199
AZE,2014,20709.20161123204,0.5466658875,0.23545505692307694,0.3676727633333333,22.967822290722502,75.0000156363396,19.7076399486748
AZE,2015,20678.75395723748,0.5466658875,0.23545505692307694,0.3676727633333333,33.26652048051779,77.0,19.4759070425568
AZE,2016,19822.41059439413,0.5466658875,0.23545505692307694,0.3676727633333333,101.86709889471123,78.2,18.2770953995915
AZE,2017,19659.00485627677,0.5466658875,0.23545505692307694,0.3676727633333333,259.48766357896307,79.0,18.1091657629876
AZE,2018,19781.850905843694,0.5466658875,0.23545505692307694,0.3676727633333333,329.3838459658678,79.7999954887896,18.8342000186458
AZE,2019,20101.491875147043,0.5466658875,0.23545505692307694,0.3676727633333333,368.8044321972953,81.0999990651547,19.2178211211639
AZE,2020,19126.096851125993,0.5466658875,0.23545505692307694,0.3676727633333333,299.3127695585934,84.59999573,19.5985750948022
AZE,2021,20111.375695210878,0.5466658875,0.23545505692307694,0.3676727633333333,416.85778402505485,85.99998954,20.0856994533421
AZE,2022,21051.24422916121,0.5466658875,0.23545505692307694,0.3676727633333333,544.5802482331462,88.0,20.3655958095069
AZE,2023,21310.738691502233,0.5466658875,0.23545505692307694,0.3676727633333333,549.7363688130284,89.0,20.8825041017301
BLR,2010,24012.613304021306,0.9482074022388061,0.9615653552941176,0.8238821066666666,5.061243150978148,31.8,17.5605789720351
BLR,2011,25404.756608241158,0.9482074022388061,0.9615653552941176,0.8238821066666666,9.089330468291818,39.6488956598961,22.1484924892336
BLR,2012,25879.131940070107,0.9482074022388061,0.9615653552941176,0.8238821066666666,25.51118702600532,46.91,26.7549579016379
BLR,2013,26147.625358464516,0.9482074022388061,0.9615653552941176,0.8238821066666666,38.75800297165869,54.17,29.4347914242904
BLR,2014,26564.434724654748,0.9482074022388061,0.9615653552941176,0.8238821066666666,61.279470900982844,59.0163187101542,28.3376939308168
BLR,2015,25513.213295831654,0.9482074022388061,0.9615653552941176,0.8238821066666666,107.91584382156955,62.230360906803,30.6040616643757
BLR,2016,24846.83015293586,0.9482074022388061,0.9615653552941176,0.8238821066666666,440.4723900057227,71.1130457603832,32.2929606538076
BLR,2017,25503.980984520666,0.9482074022388061,0.9615653552941176,0.8238821066666666,2269.270003379854,74.4364454136036,33.3125100702522
BLR,2018,26363.46297785364,0.9482074022388061,0.9615653552941176,0.8238821066666666,3436.8830310257094,79.1298866919307,33.7711870351479
BLR,2019,26798.820639807636,0.9482074022388061,0.9615653552941176,0.8238821066666666,5750.678520615922,82.7891520910901,34.0723501521236
BLR,2020,26731.495386992214,0.9482074022388061,0.9615653552941176,0.8238821066666666,7550.571687360447,85.08791245,34.8152229336418
BLR,2021,27611.180113515707,0.9482074022388061,0.9615653552941176,0.8238821066666666,9313.43277164358,86.88841196,35.0097634241001
BLR,2022,26537.50830816744,0.9482074022388061,0.9615653552941176,0.8238821066666666,10278.421134817883,89.50733148,34.0671782490739
BLR,2023,27782.43801399673,0.9482074022388061,0.9615653552941176,0.8238821066666666,11946.877296858307,91.51249979,35.0931910729644
CHL,2010,24116.76947156135,1.0,0.984607584347826,0.17301333,45.97978379490828,45.0,10.4144501306757
CHL,2011,25366.269024982535,1.0,0.984607584347826,0.17301333,63.97024956926698,52.2496072877744,11.5909712274496
CHL,2012,26670.49713384021,1.0,0.984607584347826,0.17301333,102.23116813122851,55.04999924,12.3655190651996
CHL,2013,27291.357652595747,1.0,0.984607584347826,0.17301333,126.59010801488958,58.0,12.9765829219485
CHL,2014,27505.049552415756,1.0,0.984607584347826,0.17301333,164.18316078614234,61.11000061,13.9369112350151
CHL,2015,27811.37451586172,1.0,0.984607584347826,0.17301333,223.0210346236693,76.6295919508796,15.0681266925704
CHL,2016,27958.728499668225,1.0,0.984607584347826,0.17301333,1233.2472465297267,83.5585860244169,15.9005028734256
CHL,2017,27892.994686282702,1.0,0.984607584347826,0.17301333,7223.608681305346,82.3274869338464,16.5009633130641
CHL,2018,28492.66114565155,1.0,0.984607584347826,0.17301333,8003.200729829069,84.90000153,17.2066645597348
CHL,2019,28218.534387908065,1.0,0.984607584347826,0.17301333,10872.735879799211,85.01760101,17.8649532986793
CHL,2020,26248.561643282468,1.0,0.984607584347826,0.17301333,12744.865627457328,87.45929718,19.4305872645094
CHL,2021,29089.85045972798,1.0,0.984607584347826,0.17301333,12724.956304718042,90.23280334,22.0140443723879
CHL,2022,29569.477552793716,1.0,0.984607584347826,0.17301333,11563.268231081864,92.31819916,22.7901897178525
CHL,2023,29563.678024365945,1.0,0.984607584347826,0.17301333,12299.96589319764,94.45742345,22.9954165646133
EST,2010,30070.299079110297,0.8689477655696203,0.3184550701428571,0.3452829071052632,535.4963480350739,74.1,26.1281702327091
EST,2011,32456.12088648783,0.8689477655696203,0.3184550701428571,0.3452829071052632,730.7303763110772,76.5,26.2887630917959
EST,2012,33768.57236980396,0.8689477655696203,0.3184550701428571,0.3452829071052632,1255.7685212626334,78.3899259259259,26.4254326274595
EST,2013,34484.22364572731,0.8689477655696203,0.3184550701428571,0.3452829071052632,1613.812474535223,80.0043,27.3877226142123
EST,2014,35723.62661342284,0.8689477655696203,0.3184550701428571,0.3452829071052632,2194.675724300043,84.2415280294352,28.2253745287009
EST,2015,36356.441015261444,0.8689477655696203,0.3184550701428571,0.3452829071052632,3120.7071271477193,88.4097035040431,29.6882797190881
EST,2016,37470.042767680534,0.8689477655696203,0.3184550701428571,0.3452829071052632,10786.675685329727,87.2402327514547,31.4989029896287
EST,2017,39533.464558219894,0.8689477655696203,0.3184550701428571,0.3452829071052632,29131.217625233036,88.1024568740199,32.5220031500844
EST,2018,40853.64877550727,0.8689477655696203,0.3184550701428571,0.3452829071052632,48893.43763166833,89.3570077747426,33.3725174267095
EST,2019,42218.962853871,0.8689477655696203,0.3184550701428571,0.3452829071052632,83313.1107289332,90.2289281997919,33.8508104327483
EST,2020,40920.52706230154,0.8689477655696203,0.3184550701428571,0.3452829071052632,84354.37698661625,89.05828666,34.2700326171401
EST,2021,44251.53749834551,0.8689477655696203,0.3184550701428571,0.3452829071052632,96297.93257657041,90.97970174,37.357189680638
EST,2022,43128.632771362725,0.8689477655696203,0.3184550701428571,0.3452829071052632,104101.30185937547,91.52016546,39.7219150412824
EST,2023,41288.6165892158,0.8689477655696203,0.3184550701428571,0.3452829071052632,112224.01746788627,93.18342241,35.2539796781149
GEO,2010,11294.368591711207,1.0,0.40278178956521743,0.41376087521739124,9.50697111861399,26.9,4.68263634438548
GEO,2011,12288.682886115614,1.0,0.40278178956521743,0.41376087521739124,14.90772782002965,31.52000046,6.42340988915208
GEO,2012,13193.959697405353,1.0,0.40278178956521743,0.41376087521739124,43.71292781681548,36.93999863,12.0611334421058
GEO,2013,13913.00182456612,1.0,0.40278178956521743,0.41376087521739124,63.74964090392149,43.3,13.5708594493486
GEO,2014,14475.31353560347,1.0,0.40278178956521743,0.41376087521739124,83.07760308478701,49.1024547144647,15.8407410024372
GEO,2015,14936.843411664659,1.0,0.40278178956521743,0.41376087521739124,118.6489269519896,47.5697596438736,16.7646515047976
GEO,2016,15442.956435805378,1.0,0.40278178956521743,0.41376087521739124,406.7063625669181,58.4592896118725,17.9595929069632
GEO,2017,16237.624223027518,1.0,0.40278178956521743,0.41376087521739124,2360.2442486649693,59.7055045962571,20.4644306577176
GEO,2018,17228.679084750325,1.0,0.40278178956521743,0.41376087521739124,2182.179813011985,62.7179081974285,22.5911406351247
GEO,2019,18186.8816465807,1.0,0.40278178956521743,0.41376087521739124,2776.4927378143043,68.8467135616978,24.6806060596483
